"location","name","beta","cancap","cform","dform","idstart","idmax","iharv","laimax","laihar","rootmax","rpin","zalp","fawc","soiltype","hmax","atten","rsmin","laimin","zhmin","rootinit","zdatemin","l_pnr","laic","rootdep","hcrop","rsurf","ncrop","idstart2","zdatemin2","idmax2","iharv2","rname","switch","maxint","waten"
"Langvad","Vegetables, leafy",0.5,2,1.5,1,130,201,269,3,3,0.899999976158142,75,1,NA,"sandy loam",0.300000011920929,0.600000023841858,40,0.00999999977648258,0.00999999977648258,0.00999999977648258,131,125,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,5
"Näsbygård","Cereals, spring",0.200000002980232,2,2,0.300000011920929,116,165,238,4,1,1,60,1,NA,"loam",NA,NA,NA,0.00999999977648258,0.00999999977648258,0.00999999977648258,117,155,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,5.09999990463257
"Näsbygård","Cereals, winter",0.100000001490116,3,2,0.200000002980232,265,167,233,5,1,1,60,1,NA,"loam",NA,NA,NA,1,0.200000002980232,0.200000002980232,77,154,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,19.3999996185303
"Näsbygård","Grass/alfalfa",0.200000002980232,2,NA,NA,NA,NA,NA,NA,NA,NA,67,1,NA,"loamy sand over sand",NA,0.600000023841858,NA,NA,NA,NA,NA,166,5,0.5,0.200000002980232,50,1,NA,NA,NA,NA,NA,3,NA,1.39999997615814
"Näsbygård","Legumes",0.200000002980232,2,2,0.300000011920929,113,171,222,4,2,0.800000011920929,67,1,NA,"loam",NA,NA,NA,0.00999999977648258,0.00999999977648258,0.00999999977648258,114,159,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,5.09999990463257
"Näsbygård","Oil seed rape, winter",0.100000001490116,2,2,0.200000002980232,246,156,221,4,1,1,60,1,NA,"loam",NA,NA,NA,1,0.200000002980232,0.200000002980232,60,156,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,19.3999996185303
"Näsbygård","Pome/stone fruit",0.200000002980232,2,1.5,0.699999988079071,110,186,303,4,0.00999999977648258,1,60,1,NA,"loam",NA,NA,NA,0.00999999977648258,0.00999999977648258,0.990000009536743,111,160,NA,NA,NA,NA,1,NA,NA,NA,NA,"vemmeni",2,NA,5.09999990463257
"Näsbygård","Sugar beets",0.200000002980232,2,1.70000004768372,1,124,209,298,4,4,0.800000011920929,67,1,NA,"loam",NA,NA,NA,0.00999999977648258,0.00999999977648258,0.00999999977648258,125,157,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,5.09999990463257
"Näsbygård","Vegetables, leafy",0.200000002980232,2,1.5,1,130,201,269,4,4,0.800000011920929,75,1,NA,"loam",NA,NA,NA,0.00999999977648258,0.00999999977648258,0.00999999977648258,131,158,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,5.09999990463257
"Önnestad","Bush berries",0.5,2,1.5,0.300000011920929,121,201,305,4,0.00999999977648258,0.699999988079071,67,1,NA,"loamy sand over sand",NA,NA,NA,0.00999999977648258,0.00999999977648258,0.689999997615814,122,162,NA,NA,NA,NA,1,NA,NA,NA,NA,"vemmeni",2,NA,0.800000011920929
